"voice","displayText","expectedText","issues","error","durationSeconds","rms","peak","activeRatio","firstActiveSeconds","lastActiveSeconds","trailingSilenceSeconds","lessons","relativePath"
"marin","alive","alive","","","1.368","0.05399001","0.41691375","0.311769","0.046","0.6105","0.7575","24","marin/alive-f22225688f860f7f.mp3"
"cedar","alive","alive","","","1.512","0.03300761","0.35976744","0.198454","0.6645","1.1629","0.3491","24","cedar/alive-f22225688f860f7f.mp3"
"marin","all","all","","","0.912","0.06410191","0.39718136","0.37717","0.1762","0.5817","0.3303","129","marin/all-722cdd399249d70c.mp3"
"cedar","all","all","","","1.2","0.0462736","0.3728537","0.312917","0.5476","1.017","0.183","129","cedar/all-722cdd399249d70c.mp3"
"marin","all night / all day long","all night long. Or, all day long.","","","4.56","0.09680954","0.59808958","0.479962","0.1171","3.9418","0.6182","","marin/all-night-all-day-long-762f9c8c038b6ec7.mp3"
"cedar","all night / all day long","all night long. Or, all day long.","","","3.456","0.07400575","0.51695818","0.559836","0.0568","3.1469","0.3091","","cedar/all-night-all-day-long-762f9c8c038b6ec7.mp3"
"marin","All right.","All right.","","","0.96","0.06470366","0.37057412","0.412912","0.1701","0.7303","0.2297","","marin/all-right-f522cfac88450893.mp3"
"cedar","All right.","All right.","","","1.248","0.07380582","0.41419718","0.548344","0.0867","0.9831","0.2649","","cedar/all-right-f522cfac88450893.mp3"
"marin","All roads lead to Rome.","All roads lead to Rome.","","","3.36","0.07501356","0.36157846","0.558209","0.2827","3.0468","0.3132","","marin/all-roads-lead-to-rome-5f3664ee60521280.mp3"
"cedar","All roads lead to Rome.","All roads lead to Rome.","","","1.968","0.07429171","0.6508615","0.616087","0.0616","1.5425","0.4255","","cedar/all-roads-lead-to-rome-5f3664ee60521280.mp3"
"marin","all the time","all the time","","","1.8","0.0739107","0.42950982","0.561146","0.0956","1.492","0.308","","marin/all-the-time-63ce4adc3d0ec4c2.mp3"
"cedar","all the time","all the time","","","1.32","0.05178259","0.34799501","0.460259","0.3031","1.1105","0.2095","","cedar/all-the-time-63ce4adc3d0ec4c2.mp3"
"marin","allow","allow","","","0.648","0.06910871","0.43664628","0.579668","0.0519","0.5223","0.1257","107","marin/allow-c60215d0b68bde1d.mp3"
"cedar","allow","allow","","","1.464","0.03897879","0.41735181","0.236239","0.264","0.6994","0.7646","107","cedar/allow-c60215d0b68bde1d.mp3"
"marin","almost","almost","","","1.32","0.08228841","0.63071162","0.30827","0.1071","0.7075","0.6125","119","marin/almost-f51765ce631c1f83.mp3"
"cedar","almost","almost","","","1.32","0.05435582","0.49436581","0.384754","0.1664","0.8693","0.4507","119","cedar/almost-f51765ce631c1f83.mp3"
"marin","alone","alone","","","1.008","0.07624096","0.49029303","0.455626","0.1016","0.6426","0.3654","121","marin/alone-c743096592b5348b.mp3"
"cedar","alone","alone","","","1.752","0.04503074","0.36093548","0.324118","0.4718","1.1694","0.5826","121","cedar/alone-c743096592b5348b.mp3"
"marin","along","along","","","0.816","0.06613904","0.37591502","0.568525","0.052","0.5789","0.2371","132","marin/along-fd99379851a1c938.mp3"
"cedar","along","along","","","1.752","0.04557098","0.44404587","0.218322","0.5539","1.0268","0.7252","132","cedar/along-fd99379851a1c938.mp3"
"marin","along the way","along the way","","","1.248","0.07597122","0.40619656","0.601446","0.0542","0.8919","0.3561","","marin/along-the-way-66104814226bfd9a.mp3"
"cedar","along the way","along the way","","","2.256","0.05084095","0.5043956","0.391216","0.1907","1.4356","0.8204","","cedar/along-the-way-66104814226bfd9a.mp3"
"marin","aloud","aloud","","","1.92","0.05393666","0.35050783","0.299045","0.6291","1.2608","0.6592","87|121","marin/aloud-e771b431bf249e6d.mp3"
"cedar","aloud","aloud","","","0.96","0.05368659","0.48623243","0.367188","0.0513","0.586","0.374","87|121","cedar/aloud-e771b431bf249e6d.mp3"
"marin","alphabet","alphabet","","","1.464","0.05062824","0.47591394","0.251864","0.2272","0.8053","0.6587","77","marin/alphabet-778f1ddb28d4f0e3.mp3"
"cedar","alphabet","alphabet","","","1.416","0.03986281","0.53319228","0.233389","0.6715","1.2647","0.1513","77","cedar/alphabet-778f1ddb28d4f0e3.mp3"
"marin","already","already","","","1.152","0.07437007","0.35690922","0.551432","0.0498","0.7545","0.3975","120","marin/already-22f39aa0eb1e642b.mp3"
